Dtm Inserted Date,Avg. Dec Chemical Temp,Avg. Dec Drying Temp,Avg. Dec Hot Water Temp,Txt Activity
10/18/2023 10:10,29.8,27.5,29.5,1
10/18/2023 10:10,29.8,27.5,29.5,2
10/18/2023 10:10,29.8,27.5,29.5,3
10/18/2023 10:10,29.8,27.5,29.5,4
10/18/2023 10:10,29.8,27.5,29.5,5
10/18/2023 10:10,29.8,27.5,29.5,6
10/18/2023 10:10,29.8,27.5,29.5,7
10/18/2023 10:11,29.8,27.5,29.5,8
10/18/2023 10:11,29.8,27.5,29.5,9
10/18/2023 10:11,29.8,27.5,29.5,10
10/18/2023 10:11,29.8,27.5,29.5,11
10/18/2023 10:11,29.8,27.5,29.5,12
10/18/2023 10:11,29.8,27.5,29.5,13
10/18/2023 10:11,29.8,27.5,29.5,14
10/18/2023 10:11,29.8,27.5,29.5,15
10/18/2023 10:11,29.8,27.5,29.5,16
10/18/2023 10:11,29.8,27.5,29.5,17
10/18/2023 10:11,29.8,27.5,29.5,17
10/18/2023 10:12,29.8,27.5,29.5,17
10/18/2023 10:15,29.8,27.5,29.5,17
10/18/2023 10:17,29.8,27.5,29.5,18
10/18/2023 10:17,29.8,27.5,29.5,1
10/18/2023 10:17,29.8,27.5,29.5,2
10/18/2023 10:17,29.8,27.5,29.5,3
10/18/2023 10:17,29.8,27.5,29.5,4
10/18/2023 10:17,29.8,27.5,29.5,5
10/18/2023 10:18,29.8,27.5,29.5,6
10/18/2023 10:18,29.8,27.5,29.5,7
10/18/2023 10:18,29.8,27.5,29.5,8
10/18/2023 10:18,29.8,27.5,29.5,9
10/18/2023 10:18,29.8,27.5,29.5,10
10/18/2023 10:18,29.8,27.5,29.5,11
10/18/2023 10:18,29.8,27.5,29.5,12
10/18/2023 10:18,29.8,27.5,29.5,13
10/18/2023 10:18,29.8,27.5,29.5,14
10/18/2023 10:18,29.8,27.5,29.5,15
10/18/2023 10:18,29.8,27.5,29.5,16
10/18/2023 10:18,29.8,27.5,29.5,17
10/18/2023 10:18,29.8,27.5,29.5,18
10/18/2023 16:20,79.7,25.6,80.4,2
10/18/2023 16:20,79.7,25.6,80.2,2
10/18/2023 16:20,79.7,25.6,80.4,3
10/18/2023 16:20,78.7,25.7,80.3,3
10/18/2023 16:20,79.6,24.5,80.3,3
10/18/2023 16:20,79.7,24.7,80.4,3
10/18/2023 16:20,79.9,25.8,80.1,3
10/18/2023 16:20,79.7,25.6,80.2,3
10/18/2023 16:20,78.6,25.7,80.4,3
10/18/2023 16:20,79.7,24.6,80.2,3
10/18/2023 16:20,79.6,24.3,80.7,3
10/18/2023 16:20,79.6,23.6,80.2,3
10/18/2023 16:20,79.8,23.7,80.2,3
10/18/2023 16:20,79.8,23.9,80.3,3
10/18/2023 16:20,79.7,24,80.5,3
10/18/2023 16:20,79.6,23.9,80.6,3
10/18/2023 16:20,79.5,22.9,80.5,3
10/18/2023 16:20,79.7,21.7,80.6,3
10/18/2023 16:20,79.6,22.7,80.3,3
10/18/2023 16:20,79.8,21.8,80.8,3
10/18/2023 16:20,79.8,21.8,80.3,3
10/18/2023 16:20,79.6,21.9,80.3,3
10/18/2023 16:20,79.8,21.8,80.1,3
